steamid	appid	playtime_forever
76561197960265755	240	1771
76561197960265756	10	22054
76561197960265756	20	2743
76561197960265756	24960	190
76561197960265756	730	492
76561197960265756	570	255
76561197960265818	240	970
76561197960265993	240	170
76561197960265876	10	53913
76561197960265876	70	513
76561197960265876	240	72911
76561197960265876	2630	515
76561197960265876	4000	1175
76561197960265876	7940	4628
76561197960265876	12900	97
76561197960265876	12210	2962
76561197960265876	550	89
76561197960265876	105600	599
76561197960265876	207650	373
76561197960265876	208090	317
76561197960265876	110800	90
76561197960265876	209330	805
76561197960265876	107100	514
76561197960265876	63710	102
76561197960265876	111800	304
76561197960265876	730	102571
76561197960265876	202990	854
76561197960265876	212910	74
76561197960265876	218620	70
76561197960265876	252490	213
76561197960265876	221100	248
76561197960265876	4560	72
76561197960265876	440	844
76561197960265876	239660	841
76561197960265847	10	312
76561197960265847	80	394
76561197960265908	10	466
76561197960265908	240	23503
76561197960265908	300	138
76561197960265908	320	836
76561197960265908	4000	5427
76561197960265908	500	2140
76561197960265908	550	11503
76561197960265908	730	340
76561197960265908	440	232
76561197960265844	240	844
76561197960265844	420	627
76561197960265844	500	1616
76561197960265844	18500	294
76561197960265844	19980	129
76561197960265844	41500	715
76561197960265844	550	2506
76561197960265844	620	529
76561197960265844	107800	96
76561197960265844	110800	1640
76561197960265844	7670	517
76561197960265844	91310	208
76561197960265844	730	1946
76561197960265844	204300	2823
76561197960265844	219740	439
76561197960265844	8870	831
76561197960265844	221380	257
76561197960265844	249130	1223
76561197960265844	287450	663
76561197960265844	440	28040
76561197960265844	570	215
76561197960266113	41500	1362
76561197960266113	22370	3310
76561197960266113	8930	8351
76561197960266113	18120	4986
76561197960266113	440	2995
76561197960266113	630	602
76561197960265841	240	267
76561197960265841	500	171
76561197960265841	10090	328
76561197960265841	730	85
76561197960265841	8930	1297
76561197960265841	440	85
76561197960265937	10	33097
76561197960265937	80	321
76561197960265937	240	121043
76561197960265937	7940	203
76561197960265937	500	3061
76561197960265937	24960	1118
76561197960265937	33930	7359
76561197960265937	1250	416
76561197960265937	42680	440
76561197960265937	42690	3544
76561197960265937	9200	1099
76561197960265937	72850	3258
76561197960265937	209100	1097
76561197960265937	730	2476
76561197960265879	420	575
76561197960265992	240	6268
76561197960265992	300	5079
76561197960265992	7940	93
76561197960265992	8170	6129
76561197960265992	550	566
76561197960265992	40100	93
76561197960265992	24960	782
76561197960265992	8930	543
76561197960265992	63380	128
76561197960265992	4920	123
76561197960265992	440	306
76561197960265992	570	3432
76561197960265901	10	18515
76561197960265901	220	705
76561197960265901	240	1407
76561197960265901	380	188
76561197960265901	400	207
76561197960265901	420	252
76561197960265901	20900	2820
76561197960265901	500	177
76561197960265901	550	1664
76561197960265901	55100	226
76561197960265901	620	436
76561197960265901	105600	1016
76561197960265901	20920	2222
76561197960265901	8980	2734
76561197960265901	35450	82
76561197960265901	236830	373
76561197960265901	107100	1715
76561197960265901	113200	377
76561197960265901	207610	1624
76561197960265901	28050	1928
76561197960265901	201280	259
76561197960265901	108710	1072
76561197960265901	202750	345
76561197960265901	49520	294
76561197960265901	730	23850
76561197960265901	212680	673
76561197960265901	204360	978
76561197960265901	219150	464
76561197960265901	55230	232
76561197960265901	35720	84
76561197960265901	204080	228
76561197960265901	225260	259
76561197960265901	203160	1469
76561197960265901	233720	299
76561197960265901	222730	965
76561197960265901	236090	411
76561197960265901	72850	431
76561197960265901	41800	1072
76561197960265909	60	72
76561197960265901	1250	646
76561197960265909	240	79
76561197960265901	43110	1073
76561197960265909	400	456
76561197960265901	42910	80
76561197960265909	22000	719
76561197960265909	500	155
76561197960265901	25800	82
76561197960265909	4500	127
76561197960265901	440	5682
76561197960265901	570	4370
76561197960265901	42160	136
76561197960265909	31290	173
76561197960265909	94500	198
76561197960265909	94510	195
76561197960265909	94520	239
76561197960265909	94530	199
76561197960265909	620	1008
76561197960265909	440	270
76561197960265909	17510	73
76561197960266020	10	6641
76561197960266020	30	490
76561197960266020	50	306
76561197960266020	220	1645
76561197960266020	240	277
76561197960266020	7670	75
76561197960266020	39530	189
76561197960266020	440	42735
76561197960266177	80	367
76561197960266177	240	2059
76561197960266177	3340	90
76561197960266177	3970	593
76561197960266177	3300	257
76561197960266177	3330	2007
76561197960266177	2590	482
76561197960266177	12520	169
76561197960266177	15120	635
76561197960266177	3540	2041
76561197960266177	500	1863
76561197960266177	10090	1368
76561197960266177	22200	349
76561197960266177	2100	1290
76561197960266177	15320	327
76561197960266177	1250	8687
76561197960266177	35420	90
76561197960266177	3590	1837
76561197960266177	7850	686
76561197960266177	33100	341
76561197960266177	33110	377
76561197960266177	33130	252
76561197960266177	29180	129
76561197960266177	39800	2883
76561197960266177	3620	1474
76561197960266177	40920	731
76561197960266177	550	514
76561197960266177	33180	459
76561197960266177	31410	258
76561197960266177	6870	1040
76561197960266177	8080	355
76561197960266177	8100	680
76561197960266177	8160	325
76561197960266177	25700	399
76561197960266177	20500	2017
76561197960266177	43110	810
76561197960266177	20820	344
76561197960266177	45000	694
76561197960266177	42500	87
76561197960266177	35130	378
76561197960266177	34270	229
